ID,Title,Artist,Year,ISRC,Youtube-URL,URL,Spotify-URL,QR
00282,Anyone,Justin Bieber,2021,,https://www.youtube.com/watch?v=KIK3azN4w34,https://hitstergame.com/de/00282,,
00283,Scars To Your Beautiful,Alessia Cara,2016,,https://www.youtube.com/watch?v=MWASeaYuHZo,https://hitstergame.com/de/00283,,
00284,Get Back,The Beatles,1969,,https://www.youtube.com/watch?v=YEESfv-11ng,https://hitstergame.com/de/00284,,
00285,Waka Waka (This Time for Africa) ft. Freshlyground,Shakira,2010,,https://www.youtube.com/watch?v=Ntn1-SocNiY,https://hitstergame.com/de/00285,,
00286,Let's Stick Together,Bryan Ferry,1976,,https://www.youtube.com/watch?v=Z9EbR0ckb40,https://hitstergame.com/de/00286,,
00287,Put Your Records On,Corinne Bailey Rae,2006,,https://www.youtube.com/watch?v=rjOhZZyn30k,https://hitstergame.com/de/00287,,
00288,Ice Ice Baby,Vanilla Ice,1990,,https://www.youtube.com/watch?v=rog8ou-ZepE,https://hitstergame.com/de/00288,,
00289,When I Need You,Leo Sayer,1977,,https://www.youtube.com/watch?v=obC0MFHWJ0A,https://hitstergame.com/de/00289,,
00290,bad guy,Billie Eilish,2019,,https://www.youtube.com/watch?v=DyDfgMOUjCI,https://hitstergame.com/de/00290,,
00291,Feel It Still,Portugal. The Man,2017,,https://www.youtube.com/watch?v=pBkHHoOIIn8,https://hitstergame.com/de/00291,,
00292,Shallow,"Lady Gaga, Bradley Cooper",2018,,https://www.youtube.com/watch?v=bo_efYhYU2A,https://hitstergame.com/de/00292,,
00293,Vom selben Stern,Ich + Ich,2007,,https://www.youtube.com/watch?v=cDoHZb9vCs4,https://hitstergame.com/de/00293,,
00294,"Hey, Soul Sister",Train,2009,,https://www.youtube.com/watch?v=kVpv8-5XWOI,https://hitstergame.com/de/00294,,
00295,Can't Help Falling in Love,Elvis Presley,1961,,https://www.youtube.com/watch?v=vGJTaP6anOU,https://hitstergame.com/de/00295,,
00296,Call on Me,Eric Prydz,2004,,https://www.youtube.com/watch?v=L_fCqg92qks,https://hitstergame.com/de/00296,,
00297,I Heard It Through The Grapevine,Marvin Gaye,1968,,https://www.youtube.com/watch?v=VWG3npfEoHo,https://hitstergame.com/de/00297,,
00298,Ein Bett Im Kornfeld,Jürgen Drews,1976,,https://www.youtube.com/watch?v=XqX0720VTRY,https://hitstergame.com/de/00298,,
00299,Dancing in the Moonlight,Toploader,2000,,https://www.youtube.com/watch?v=0yBnIUX0QAE,https://hitstergame.com/de/00299,,
00300,Escape (The Pina Colada Song),Rupert Holmes,1979,,https://www.youtube.com/watch?v=FXG_I_tf_i4,https://hitstergame.com/de/00300,,
00301,Thunder,Imagine Dragons,2017,,https://www.youtube.com/watch?v=fKopy74weus,https://hitstergame.com/de/00301,,
00302,"Oh, Pretty Woman",Roy Orbison,1964,,https://www.youtube.com/watch?v=3KFvoDDs0XM,https://hitstergame.com/de/00302,,
00303,Lollipop,The Chordettes,1958,,https://www.youtube.com/watch?v=sGH7aWA49DQ,https://hitstergame.com/de/00303,,
00304,No Woman No Cry,Bob Marley & The Wailers,1974,,https://www.youtube.com/watch?v=IT8XvzIfi4U,https://hitstergame.com/de/00304,,
00305,Respect,Aretha Franklin,1967,,https://www.youtube.com/watch?v=9iayJ8u4Qew,https://hitstergame.com/de/00305,,
00306,You Can Get It If You Really Want,Jimmy Cliff,1970,,https://www.youtube.com/watch?v=75OuJvXsENQ,https://hitstergame.com/de/00306,,
00307,Wooly Bully,Sam The Sham & The Pharaohs,1965,,https://www.youtube.com/watch?v=kJbGfywArcY,https://hitstergame.com/de/00307,,
00308,Fireflies,Owl City,2009,,https://www.youtube.com/watch?v=psuRGfAaju4,https://hitstergame.com/de/00308,,
